source,title,description,url,published_at,source_type
Financial Post,Canada vs Elon Musk: Targeting the world’s richest man has its risks and rewards,"Elon Musk has become a target for tariff retaliation, but picking a fight with the world's richest man is risky, say experts. Read more",https://financialpost.com/technology/canada-targets-elon-musk-tariff-war,2025-02-07T15:33:30Z,NewsAPI
GlobeNewswire,"Software Defined Vehicle Market to Reach $1.1 Trillion, Globally, by 2033 at 22.3% CAGR: Allied Market Research","Increase in the adoption of advanced connectivity solutions such as AI and ML in vehicles, rise in demand for autonomous and connected vehicles, and the ongoing shift toward electrification drive the global software defined vehicle market growth. Increase in …",https://www.globenewswire.com/news-release/2025/02/07/3022867/0/en/Software-Defined-Vehicle-Market-to-Reach-1-1-Trillion-Globally-by-2033-at-22-3-CAGR-Allied-Market-Research.html,2025-02-07T15:20:00Z,NewsAPI
Financial Post,Trump Administration Halts Program to Expand US EV Chargers,"The Trump administration is suspending federal funding for electric car chargers, following through on one of President Donald Trump’s first directives to roll back US subsidies for plug-in vehicles after he retook the White House.",https://financialpost.com/pmn/business-pmn/trump-administration-halts-program-to-expand-us-ev-chargers,2025-02-07T15:06:14Z,NewsAPI
Harvard School of Engineering and Applied Sciences,Delaware’s Rocky Year–What Lies Ahead?,"2024 was a remarkable year in Delaware. For the first time in as long as anyone can remember, people began to seriously question whether Delaware would retain its dominance as the go-to jurisdiction for incorporating companies. There was an uproar following s…",https://corpgov.law.harvard.edu/2025/02/07/delawares-rocky-year-what-lies-ahead/,2025-02-07T14:31:10Z,NewsAPI
GlobeNewswire,"LiveOne (NASDAQ: LVO) to Announce Third Quarter Fiscal Year 2025 Financial Results and Host Investor Webcast on Friday, February 14, 2025","- Investor Webcast on Friday, February 14, 2025 at 10:00am ET / 7:00am PT - Investor Webcast on Friday, February 14, 2025 at 10:00am ET / 7:00am PT",https://www.globenewswire.com/news-release/2025/02/07/3022758/0/en/LiveOne-NASDAQ-LVO-to-Announce-Third-Quarter-Fiscal-Year-2025-Financial-Results-and-Host-Investor-Webcast-on-Friday-February-14-2025.html,2025-02-07T13:00:00Z,NewsAPI
Biztoc.com,Opinion: Tesla’s awful numbers put Musk back into campaign mode,"It’s a good thing for Tesla that its chief executive has cozied up to the U.S. president, because the company’s latest numbers are awful.
Tesla Inc. missed earnings estimates for the fourth quarter. The bigger issue is that the miss would have been even worse…",https://biztoc.com/x/bf1b014631b1f393,2025-02-07T12:37:50Z,NewsAPI
Financial Post,"GM, Ford Shares Are Cheap for a Reason as Risks Pile Up","General Motors Co. and Ford Motor Co. are among the cheapest stocks in the S&P 500 Index. But that doesn’t make them buying opportunities, say Wall Street analysts, who are rapidly souring on the century-old carmakers’ shares as risks around their outlooks gr…",https://financialpost.com/pmn/business-pmn/gm-ford-shares-are-cheap-for-a-reason-as-risks-pile-up,2025-02-07T12:24:12Z,NewsAPI
GlobeNewswire,"The GraniteShares YieldBoost TSLA ETF (TSYY) Yielded an Annualized Distribution of Approximately 35% Generating a 7.9% Total Return. TSYY Went Ex-Dividend on January 24, 2025","Since its inception on December 17, 2024, and until the ex-date, TSYY generated a positive total return. During the same period Tesla (TSLA) was down 14.1%. Since its inception on December 17, 2024, and until the ex-date, TSYY generated a positive total retur…",https://www.globenewswire.com/news-release/2025/02/07/3022663/0/en/The-GraniteShares-YieldBoost-TSLA-ETF-TSYY-Yielded-an-Annualized-Distribution-of-Approximately-35-Generating-a-7-9-Total-Return-TSYY-Went-Ex-Dividend-on-January-24-2025.html,2025-02-07T11:22:00Z,NewsAPI
ETF Daily News,"Financial Life Planners Acquires New Stake in Tesla, Inc. (NASDAQ:TSLA)","Financial Life Planners purchased a new stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) during the 4th quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The firm purchased 1,736 shares of the electri…",https://www.etfdailynews.com/2025/02/07/financial-life-planners-acquires-new-stake-in-tesla-inc-nasdaqtsla/,2025-02-07T11:01:16Z,NewsAPI
ETF Daily News,"EQ Wealth Advisors LLC Invests $343,000 in Tesla, Inc. (NASDAQ:TSLA)","EQ Wealth Advisors LLC purchased a new stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) in the 4th quarter, according to its most recent filing with the Securities & Exchange Commission. The fund purchased 849 shares of the electric vehicle producer’s stock, …",https://www.etfdailynews.com/2025/02/07/eq-wealth-advisors-llc-invests-343000-in-tesla-inc-nasdaqtsla/,2025-02-07T11:01:14Z,NewsAPI
ETF Daily News,"Leisure Capital Management Boosts Stake in Tesla, Inc. (NASDAQ:TSLA)","Leisure Capital Management raised its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 116.6% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 1,722 shares of the…",https://www.etfdailynews.com/2025/02/07/leisure-capital-management-boosts-stake-in-tesla-inc-nasdaqtsla/,2025-02-07T10:24:58Z,NewsAPI
ETF Daily News,"Resonant Capital Advisors LLC Acquires 320 Shares of Tesla, Inc. (NASDAQ:TSLA)","Resonant Capital Advisors LLC lifted its holdings in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 5.8% during the fourth quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The fund owned 5,881 shares of th…",https://www.etfdailynews.com/2025/02/07/resonant-capital-advisors-llc-acquires-320-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T10:24:58Z,NewsAPI
ETF Daily News,"Rice Partnership LLC Sells 532 Shares of Tesla, Inc. (NASDAQ:TSLA)","Rice Partnership LLC lowered its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 2.7% in the fourth quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The firm owned 19,079 shares of the electric vehicle produ…",https://www.etfdailynews.com/2025/02/07/rice-partnership-llc-sells-532-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T10:24:57Z,NewsAPI
ETF Daily News,"Financial Partners Group Inc Increases Stake in Tesla, Inc. (NASDAQ:TSLA)","Financial Partners Group Inc grew its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 3.9% during the 4th quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The firm owned 4,044 shares of the el…",https://www.etfdailynews.com/2025/02/07/financial-partners-group-inc-increases-stake-in-tesla-inc-nasdaqtsla/,2025-02-07T10:24:56Z,NewsAPI
